id,titulo,mpa,genero,duracion,fecha_estreno,productora,ingresos,presupuesto,voto_promedio,cantidad_votos,popularidad,director,genero_director
tt0170705,Train de vie,R,Drama,103,1998-09-16,Canal+,3311162,154790,7.365,263,11.253,Radu Mihăileanu,Masculino
tt0165854,The Limey,R,Drama,89,1999-10-08,Artisan Entertainment,3204663,10000000,6.573,392,11.739,Steven Soderbergh,Masculino
tt0155776,Jawbreaker,R,Comedy,87,1999-01-30,Crossroads Films,3100000,3000000,6.3,501,21.338,Darren Stein,Masculino
tt0188863,Love Stinks,R,Comedy,94,1999-09-10,NA,2924635,4000000,6.268,56,4.748,Jeff Franklin,Masculino
tt0150216,Cradle Will Rock,NA,Drama,132,1999-12-10,Touchstone Pictures,2900000,36000000,6.5,78,11.438,Tim Robbins,Masculino
tt0120907,eXistenZ,R,Action,97,1999-04-14,Alliance Atlantis,2856712,15000000,6.817,1787,21.434,David Cronenberg,Masculino
tt0164085,Limbo,R,Adventure,126,1999-06-04,Screen Gems,1997807,8000000,6.6,66,6.031,John Sayles,Masculino
tt0162710,Trick,R,Comedy,89,1999-07-23,Roadside Attractions,2049595,450000,7.016,92,7.346,Jim Fall,Masculino
tt0129332,Ravenous,R,Adventure,101,1999-01-01,ETIC Films,2000000,12000000,6.783,546,15.826,Antonia Bird,Femenino
tt0162360,"Happy, Texas",PG-13,Comedy,98,1999-12-03,Marked Entertainment,1943649,1700000,5.6,108,7.852,Mark Illsley,Masculino
tt0119219,Goodbye Lover,R,Thriller,102,1999-04-16,Regency Enterprises,1940299,20000000,5.459,49,11.759,Roland Joffé,Masculino
tt0120755,Mission: Impossible II,PG-13,Adventure,123,2000-05-24,Paramount,546400000,125000000,6.123,6338,34.137,John Woo,Masculino
tt0172495,Gladiator,R,Action,155,2000-05-04,Universal Pictures,465361176,103000000,8.215,17513,82.616,Ridley Scott,Masculino
tt0162222,Cast Away,PG-13,Adventure,143,2000-12-22,20th Century Fox,429632142,90000000,7.663,10799,58.635,Robert Zemeckis,Masculino
tt0207201,What Women Want,PG-13,Comedy,127,2000-12-15,Paramount,374100000,70000000,6.448,3715,36.214,Nancy Meyers,Femenino
tt0130623,Dinosaur,PG,Family,82,2000-05-19,Walt Disney Pictures,354248063,127500000,6.52,2354,47.029,Ralph Zondag,Masculino
tt0170016,How the Grinch Stole Christmas,PG,Family,104,2000-11-17,Universal Pictures,345800000,123000000,6.77,7092,72.522,Ron Howard,Masculino
tt0212338,Meet the Parents,PG-13,Comedy,108,2000-10-06,Universal Pictures,330444045,55000000,6.679,5650,26.519,Jay Roach,Masculino
tt0177971,The Perfect Storm,PG-13,Action,130,2000-06-29,Baltimore/Spring Creek Pictures,325800000,130000000,6.438,2127,29.898,Wolfgang Petersen,Masculino
tt0120903,X-Men,PG-13,Adventure,104,2000-07-13,The Donners' Company,296339527,75000000,6.999,10770,2.853,Bryan Singer,Masculino
tt0161081,What Lies Beneath,PG-13,Drama,130,2000-07-21,DreamWorks Pictures,291400000,100000000,6.412,1719,46.12,Robert Zemeckis,Masculino
tt0175142,Scary Movie,R,Comedy,88,2000-07-07,Brad Grey Pictures,278000000,19000000,6.4,6576,52.697,Keenen Ivory Wayans,Masculino
tt0160127,Charlie's Angels,PG-13,Action,98,2000-11-02,Columbia Pictures,264100000,92000000,5.828,3947,27.939,McG,Masculino
tt0195685,Erin Brockovich,R,Drama,131,2000-03-17,Jersey Films,256271286,52000000,7.432,2967,30.554,Steven Soderbergh,Masculino
tt0217869,Unbreakable,PG-13,Thriller,106,2000-11-22,Limited Edition Productions Inc.,248100000,75000000,7.138,8817,31.15,M. Night Shyamalan,Masculino
tt0187078,Gone in Sixty Seconds,PG-13,Action,118,2000-06-09,Touchstone Pictures,237200000,90000000,6.419,4156,43.525,Dominic Sena,Masculino
